id, radius, time
219, 8,13.612350225448608
175, 12,11.732608556747437
163, 8,10.859358310699463
177, 15,11.903085947036743
143, 13,14.376795530319214
162, 7,14.614649534225464
182, 11,13.454321146011353
161, 6,10.000114440917969
134, 8,10.67099928855896
124, 14,11.037499189376831
133, 6,13.631499767303467
91, 5,12.753231287002563
207, 15,10.000114440917969
160, 8,10.505085706710815
217, 9,11.158767938613892
250, 14,10.000114440917969
158, 9,11.10391640663147
172, 14,10.000114440917969
130, 5,10.69992971420288
205, 15,11.60712456703186
157, 14,10.41618800163269
169, 7,10.410382509231567
118, 6,14.615804433822632
204, 9,10.90816044807434
247, 6,12.113226413726807
142, 7,14.356591701507568
180, 13,11.746289491653442
94, 10,10.000114440917969
246, 15,10.255647897720337
216, 13,13.553908824920654
245, 9,10.000114440917969
102, 12,13.785398244857788
191, 12,11.947826385498047
227, 8,13.401133060455322
145, 5,13.542320728302002
202, 6,10.000114440917969
215, 14,11.789196491241455
111, 11,10.000114440917969
153, 13,10.000114440917969
255, 14,12.482090711593628
108, 15,13.761399745941162
188, 15,14.664493322372437
96, 12,13.726432800292969
129, 9,11.76803207397461
107, 12,10.100183010101318
139, 6,12.880760908126831
241, 15,11.492288589477539
187, 11,13.044800043106079
199, 7,10.617340087890625
128, 12,11.996058464050293
233, 10,14.801582336425781
150, 11,12.948874950408936
104, 13,11.39927864074707
239, 15,14.631625175476074
225, 11,10.10119342803955
98, 9,10.90866732597351
252, 5,12.38669490814209
137, 15,13.544934749603271
100, 9,10.453597068786621
97, 8,12.007607221603394
224, 10,13.142934083938599
149, 12,14.613639116287231
196, 7,12.384351015090942
166, 15,14.605546236038208
148, 9,11.599298477172852
223, 13,14.152252197265625
236, 15,14.363280534744263
147, 13,13.50447964668274
185, 9,14.265710592269897
90, 13,12.603652954101562
84, 15,10.000114440917969
57, 8,13.379656791687012
52, 15,13.65485167503357
20, 8,13.393719911575317
42, 7,10.21344542503357
46, 10,14.192596673965454
19, 14,11.822330474853516
43, 11,10.895549774169922
82, 11,10.57525372505188
29, 8,11.887960433959961
6, 9,14.265710592269897
81, 13,10.201364994049072
56, 10,13.500880241394043
77, 13,10.000114440917969
4, 6,11.14123010635376
59, 5,11.814342260360718
75, 15,10.379661798477173
40, 6,10.872409343719482
2, 12,11.509178400039673
73, 14,11.077445268630981
70, 8,11.990455865859985
12, 8,10.407766819000244
69, 10,12.005071878433228
27, 5,11.86887788772583
49, 7,13.309865236282349
13, 15,14.242943286895752
47, 11,10.73711347579956
38, 10,10.222414016723633
85, 6,12.640815496444702
25, 12,14.56140661239624
7, 11,12.389812707901001
45, 9,11.113143920898438
36, 15,10.000114440917969
60, 6,13.873334646224976
