run,M,C,R
0,99,123,55
1,101,122,54
2,103,101,42
3,122,109,64
4,96,123,47
5,126,112,60
6,109,124,56
7,136,105,57
8,133,120,61
9,121,138,71
10,135,122,64
11,123,139,67
12,114,125,67
13,131,122,69
14,134,130,83
15,122,128,66
16,119,131,66
17,125,131,72
18,135,131,73
19,124,142,78
20,109,133,58
21,124,121,67
22,95,139,56
23,125,128,71
24,118,125,63
25,134,95,57
26,110,111,56
27,122,97,56
28,128,123,69
29,133,130,85
30,110,103,51
31,104,119,56
32,117,118,60
33,98,116,61
34,117,124,72
35,116,135,68
36,108,122,55
37,91,115,47
38,124,124,59
39,123,130,67
40,130,124,71
41,132,109,62
42,120,115,64
43,125,92,57
44,122,120,69
45,111,125,64
46,100,119,60
47,114,116,64
48,115,107,59
49,118,104,49
50,125,114,57
51,111,115,53
52,108,126,57
53,131,122,69
54,128,121,67
55,122,125,64
56,128,145,76
57,119,101,49
58,143,120,78
59,124,118,60
60,128,122,67
61,115,130,65
62,113,107,65
63,98,117,50
64,127,131,78
65,119,125,64
66,134,116,70
67,111,108,49
68,125,123,72
69,109,119,60
70,125,122,59
71,124,112,69
72,122,112,61
73,119,126,61
74,101,113,51
75,135,110,67
76,125,114,58
77,116,125,62
78,135,135,81
79,113,122,63
80,120,116,56
81,121,108,58
82,131,113,64
83,95,128,57
84,119,113,59
85,86,112,43
86,130,100,57
87,136,127,69
88,135,137,80
89,98,114,49
90,108,116,54
91,131,121,66
92,131,131,70
93,136,118,67
94,116,132,63
95,91,108,45
96,124,131,69
97,126,125,72
98,107,126,59
99,124,120,72
