id, radius, time
203, 10,10.579603910446167
206, 8,14.013905048370361
220, 10,10.000091552734375
148, 12,10.404863357543945
188, 13,10.000091552734375
170, 5,10.000091552734375
187, 9,12.439385652542114
245, 13,13.728777170181274
244, 13,11.099354028701782
164, 9,14.347840547561646
204, 7,13.364260911941528
109, 6,14.490522623062134
142, 9,14.778331995010376
108, 12,10.026157855987549
213, 13,10.142110347747803
168, 6,13.014678716659546
123, 14,10.667969226837158
116, 15,10.007518768310547
167, 7,14.872387647628784
115, 7,10.582164287567139
160, 9,12.529078483581543
242, 8,12.31983757019043
200, 9,13.59896469116211
93, 5,10.429765701293945
241, 11,12.20716404914856
199, 11,12.869241952896118
141, 6,12.508638620376587
186, 14,14.329752922058105
166, 6,12.71023678779602
159, 14,11.761602878570557
140, 7,10.2243971824646
107, 12,10.409809589385986
211, 13,12.012726068496704
139, 6,13.861281394958496
92, 15,10.000091552734375
198, 14,14.658599853515625
114, 5,14.921384334564209
137, 9,10.479455709457397
218, 13,13.967676162719727
183, 6,11.836046695709229
233, 11,13.676189422607422
91, 8,10.917960166931152
181, 12,12.39124083518982
125, 12,12.116453170776367
84, 9,10.772075176239014
230, 10,11.465688467025757
113, 8,12.00519347190857
179, 10,11.288344144821167
121, 6,14.88444471359253
155, 12,12.096910953521729
103, 10,14.423657417297363
83, 7,10.002649545669556
118, 15,10.000091552734375
89, 11,14.541066646575928
229, 8,13.58015513420105
98, 5,11.909480571746826
175, 5,12.114411354064941
132, 15,12.968108177185059
112, 7,11.96484899520874
193, 15,12.977275371551514
111, 6,14.460458993911743
97, 12,10.000091552734375
227, 8,13.904880285263062
152, 9,12.557887315750122
225, 15,14.828391551971436
131, 11,10.279657125473022
95, 13,11.886883974075317
236, 7,13.479969024658203
174, 8,14.141455888748169
88, 12,12.9069504737854
129, 6,11.226325750350952
128, 8,13.522154331207275
223, 12,14.238328456878662
150, 9,11.106478452682495
222, 12,10.000091552734375
190, 15,11.173747301101685
85, 14,10.669499158859253
14, 13,13.685377597808838
79, 14,11.813264608383179
248, 13,14.481813192367554
249, 12,10.000091552734375
251, 12,11.890832424163818
22, 10,12.075159788131714
78, 11,12.994694232940674
253, 14,13.48874044418335
254, 15,12.70634388923645
255, 14,10.27157735824585
37, 12,13.041074991226196
77, 13,11.0213143825531
76, 15,10.000091552734375
46, 10,12.99367356300354
5, 8,13.511906862258911
40, 11,14.553383350372314
35, 12,12.617839813232422
52, 6,13.80529499053955
34, 12,13.8200101852417
10, 13,10.000091552734375
57, 15,13.638855457305908
3, 14,12.547770977020264
33, 11,10.865204095840454
6, 15,13.953964948654175
49, 14,11.017221927642822
13, 11,13.37574052810669
45, 15,12.560946941375732
32, 7,10.3377206325531
55, 13,12.347628831863403
64, 11,10.709333658218384
63, 9,13.478888988494873
48, 9,10.000091552734375
9, 15,13.682317733764648
61, 15,11.40724802017212
12, 8,13.875577449798584
8, 11,14.32343316078186
58, 8,11.357559442520142
41, 12,10.927091836929321
