id, radius, time
213, 14,10.764677047729492
246, 5,10.811549186706543
158, 15,13.539490222930908
224, 6,10.41089153289795
204, 15,10.000131845474243
172, 14,11.31796646118164
223, 8,12.112643480300903
135, 9,12.067385911941528
202, 7,11.782875776290894
131, 13,12.165029525756836
171, 15,10.000131845474243
182, 15,14.047796487808228
156, 6,10.416969776153564
101, 5,10.749610424041748
200, 13,13.043919086456299
242, 14,13.086798667907715
113, 6,10.000131845474243
253, 12,10.23543405532837
154, 7,12.96065640449524
222, 6,10.281280755996704
152, 6,12.762190818786621
169, 11,12.319669485092163
125, 12,13.022948741912842
196, 13,13.717097043991089
124, 13,10.000131845474243
181, 7,12.47787094116211
177, 13,12.196157217025757
250, 7,10.940398454666138
194, 10,12.319669485092163
122, 9,14.911301612854004
165, 9,11.124559879302979
112, 8,10.000131845474243
249, 12,10.308013439178467
238, 5,12.053377628326416
185, 10,11.128037929534912
111, 12,12.219202518463135
139, 14,12.37569260597229
94, 12,10.000131845474243
164, 8,12.225776433944702
110, 11,14.513221025466919
121, 15,10.000131845474243
237, 15,13.211145401000977
215, 5,10.000131845474243
148, 14,10.659636974334717
120, 15,10.000131845474243
184, 13,10.28937292098999
191, 14,10.889517545700073
236, 14,12.035239219665527
189, 5,10.22494888305664
234, 10,12.907991409301758
162, 15,10.000131845474243
233, 8,10.000131845474243
92, 11,10.315746545791626
161, 10,12.77339220046997
219, 14,12.356052160263062
176, 11,12.957604885101318
105, 9,14.167716264724731
137, 6,12.554365634918213
146, 9,10.000131845474243
207, 5,12.598076581954956
229, 5,10.000131845474243
142, 7,11.473641395568848
187, 10,14.772913217544556
88, 14,10.635718822479248
214, 15,10.331956386566162
141, 12,14.766812801361084
102, 9,10.357218027114868
38, 12,13.514261245727539
36, 6,13.371320009231567
68, 13,13.611825942993164
47, 7,10.350613594055176
40, 8,11.667896509170532
17, 14,12.965213775634766
16, 6,14.46584177017212
55, 8,10.007234334945679
65, 5,10.750117540359497
80, 6,12.308437824249268
6, 14,12.831374406814575
13, 12,11.35965347290039
8, 14,10.885434627532959
79, 9,14.851663589477539
64, 8,10.000131845474243
39, 12,11.143710136413574
12, 15,13.989274024963379
62, 13,10.519370794296265
43, 10,10.240482807159424
11, 12,14.63854718208313
23, 9,10.99038028717041
54, 15,14.25242304801941
20, 6,10.716867923736572
59, 15,12.469886064529419
48, 11,11.907947301864624
