id, radius, time
146, 15,10.450230360031128
102, 15,13.499288082122803
176, 14,13.161995649337769
151, 10,11.127141952514648
101, 13,13.59775972366333
81, 8,12.962729692459106
180, 13,11.289985656738281
136, 8,10.00032663345337
143, 11,13.142510890960693
214, 6,14.15470552444458
16, 13,14.342102766036987
188, 14,10.731325626373291
179, 7,14.223586559295654
213, 6,13.603832244873047
171, 9,11.203270196914673
110, 8,11.545577049255371
121, 13,10.00032663345337
109, 7,11.587849855422974
108, 10,13.06699275970459
107, 6,10.617246150970459
211, 12,10.685854434967041
178, 12,11.59493350982666
132, 14,11.196059703826904
168, 9,13.951245546340942
209, 6,10.894747734069824
96, 12,10.297274351119995
166, 6,12.19130563735962
226, 15,11.425875186920166
95, 13,13.046310186386108
94, 13,14.90293550491333
120, 13,11.80820083618164
208, 8,13.390812635421753
93, 11,10.00032663345337
131, 15,12.911242008209229
130, 14,10.605365514755249
106, 8,13.934115171432495
119, 13,12.587319612503052
128, 6,10.00032663345337
221, 6,12.006411075592041
161, 8,12.606848001480103
126, 14,11.8343346118927
73, 10,11.905288696289062
220, 9,12.057823896408081
203, 8,10.14197063446045
159, 11,14.553235292434692
78, 11,14.15204668045044
202, 15,10.250540018081665
82, 14,10.966262817382812
90, 7,12.876864433288574
89, 6,11.32757306098938
118, 5,13.123843669891357
157, 8,13.255469560623169
199, 11,10.016640901565552
113, 12,10.98598337173462
196, 8,10.344307899475098
155, 11,13.241963386535645
116, 12,10.439024925231934
185, 12,11.924821853637695
193, 11,12.555221557617188
85, 11,14.69973349571228
147, 7,10.00032663345337
75, 7,10.380165100097656
123, 5,10.316535234451294
122, 8,13.973033428192139
238, 13,12.974490880966187
15, 10,10.00032663345337
237, 6,12.876345157623291
32, 7,11.017961502075195
62, 7,10.00032663345337
241, 10,10.586448431015015
61, 14,10.626267910003662
43, 10,11.401133060455322
240, 11,11.030063390731812
44, 10,11.60125732421875
231, 6,14.297569990158081
29, 6,14.120503425598145
247, 11,12.467797756195068
42, 7,13.257619619369507
27, 13,11.741711854934692
59, 15,10.00032663345337
26, 8,10.269919395446777
10, 6,11.956559181213379
252, 6,10.072332859039307
255, 5,13.09506106376648
56, 14,10.00032663345337
25, 10,10.010330200195312
54, 15,10.679151773452759
4, 13,10.711663961410522
39, 13,11.125404596328735
50, 5,10.988697290420532
36, 7,11.139348030090332
6, 10,11.83281421661377
48, 8,14.304508686065674
47, 6,14.130577325820923
13, 9,13.344371557235718
65, 5,13.523982048034668
21, 10,14.619660139083862
37, 7,11.443058967590332
20, 12,11.691713571548462
11, 5,11.37537670135498
38, 14,10.399335145950317
