id, radius, time
23, 8,10.196203470230103
248, 7,12.80029034614563
203, 15,10.00018835067749
24, 5,11.15678358078003
246, 7,10.00018835067749
245, 13,14.729113578796387
150, 11,13.41884994506836
244, 15,14.142417669296265
243, 5,10.801246643066406
29, 11,10.787642002105713
242, 13,10.950105905532837
30, 6,11.935444831848145
204, 12,13.296014070510864
148, 5,10.00018835067749
185, 9,12.063785076141357
251, 7,13.204745054244995
241, 9,11.649216175079346
31, 11,12.053282022476196
32, 6,12.273420810699463
206, 13,10.781197547912598
238, 6,10.307471752166748
236, 14,10.00018835067749
147, 14,13.290698528289795
135, 5,13.976670742034912
234, 6,14.22345519065857
250, 8,10.00018835067749
133, 7,10.542219161987305
132, 8,12.260866403579712
131, 10,10.00018835067749
207, 15,13.838728904724121
38, 13,11.136198997497559
176, 12,10.777823686599731
230, 10,13.175705194473267
249, 15,11.169983625411987
229, 15,10.901759624481201
153, 14,11.370602130889893
197, 10,14.035614013671875
208, 10,12.464360475540161
226, 14,11.008586168289185
154, 13,14.868942022323608
145, 9,13.516765832901001
224, 11,13.228299617767334
170, 11,13.053296089172363
122, 8,14.417564392089844
121, 7,14.659570217132568
196, 13,10.071436643600464
167, 10,13.644718170166016
217, 8,10.00018835067749
166, 10,11.541775226593018
118, 10,14.099414587020874
223, 6,12.163118839263916
195, 5,14.174595594406128
104, 5,14.406633615493774
220, 12,10.107909917831421
141, 7,11.81685471534729
164, 12,13.748379230499268
222, 12,10.00018835067749
221, 12,10.081969022750854
44, 5,11.632517099380493
193, 15,11.698940515518188
211, 14,10.00018835067749
192, 15,11.18304967880249
113, 11,14.447519302368164
212, 15,14.995375871658325
140, 8,12.953202724456787
160, 5,10.553735256195068
215, 11,14.105956554412842
158, 11,14.598675966262817
106, 11,11.777044773101807
157, 10,11.510968685150146
109, 11,10.00018835067749
189, 13,14.199716091156006
107, 5,12.755682945251465
90, 14,10.00018835067749
89, 13,13.544994354248047
87, 12,14.142417669296265
86, 8,10.851001024246216
60, 7,13.120171070098877
81, 13,13.548543453216553
4, 13,12.310054540634155
5, 13,13.324896812438965
62, 11,14.678165674209595
79, 10,10.578240871429443
6, 10,11.340441226959229
55, 8,10.00018835067749
8, 14,10.614381790161133
76, 15,11.345432758331299
56, 8,12.604661226272583
73, 14,12.527186632156372
11, 10,10.724782466888428
12, 12,10.614890813827515
69, 11,12.699580669403076
13, 14,12.057873249053955
15, 10,14.122583866119385
18, 6,10.203324317932129
19, 9,12.481966733932495
94, 13,10.00018835067749
93, 15,12.620194673538208
92, 14,10.00018835067749
21, 5,11.663154602050781
91, 11,10.00018835067749
